MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
2018-01-01,AncillaryFFS,,Payer UN,373
2018-01-01,AncillaryFFS,,Payer CO,37949
2018-01-01,AncillaryFFS,dialysis,Payer CA,263269
2018-01-01,AncillaryFFS,dialysis,Payer S,122825
2018-01-01,AncillaryFFS,dialysis,Payer W,136718
2018-01-01,AncillaryFFS,dialysis,Payer H,6161
2018-01-01,AncillaryFFS,,Payer CA,7109
2018-01-01,AncillaryFFS,,Payer S,1977
2018-01-01,AncillaryFFS,psychology,Payer UN,0
2018-01-01,AncillaryFFS,,Payer CO,155608
2018-01-01,AncillaryFFS,,Payer B,6185
2018-01-01,AncillaryFFS,,Payer CA,197259
2018-01-01,AncillaryFFS,,Payer S,195761
2018-01-01,AncillaryFFS,,Payer W,71490
2018-01-01,AncillaryFFS,,Payer UN,21002
2018-01-01,AncillaryFFS,emergency,Payer F,84834
2018-01-01,AncillaryFFS,emergency,Payer O,6035
2018-01-01,AncillaryFFS,emergency,Payer S,0
2018-01-01,AncillaryFFS,emergency,Payer UN,240
2018-01-01,AncillaryFFS,emergency,Payer CA,361
2018-01-01,AncillaryFFS,emergency,Payer W,7510
2018-01-01,AncillaryFFS,,Payer S,14997
2018-01-01,AncillaryFFS,endocrinology,Payer F,34102
2018-01-01,AncillaryFFS,endocrinology,Payer O,1369
2018-01-01,AncillaryFFS,endocrinology,Payer UN,0
2018-01-01,AncillaryFFS,,Payer W,425
2018-01-01,AncillaryFFS,family nurse,Payer CA,532
2018-01-01,AncillaryFFS,family,Payer B,0
2018-01-01,AncillaryFFS,family,Payer CA,16602
2018-01-01,AncillaryFFS,family,Payer F,279445
2018-01-01,AncillaryFFS,family,Payer O,41429
2018-01-01,AncillaryFFS,family,Payer S,2025
2018-01-01,AncillaryFFS,family,Payer UN,151
2018-01-01,AncillaryFFS,family,Payer W,5936
2018-01-01,AncillaryFFS,,Payer S,3427
2018-01-01,AncillaryFFS,,Payer W,3764
2018-01-01,AncillaryFFS,gastroenterology,Payer CA,1392
2018-01-01,AncillaryFFS,gastroenterology,Payer F,3278
2018-01-01,AncillaryFFS,,Payer CA,7118
2018-01-01,AncillaryFFS,,Payer F,81072
2018-01-01,AncillaryFFS,,Payer O,8463
2018-01-01,AncillaryFFS,,Payer UN,751
2018-01-01,AncillaryFFS,,Payer W,1552
2018-01-01,AncillaryFFS,surgery,Payer CA,1878
2018-01-01,AncillaryFFS,surgery,Payer F,1855
2018-01-01,AncillaryFFS,surgery,Payer O,239
2018-01-01,AncillaryFFS,surgery,Payer UN,61
2018-01-01,AncillaryFFS,surgery,Payer W,2248
2018-01-01,AncillaryFFS,,Payer UN,0
2018-01-01,AncillaryFFS,,Payer B,0
2018-01-01,AncillaryFFS,gynecology,Payer UN,0
2018-01-01,AncillaryFFS,,Payer CA,0
2018-01-01,AncillaryFFS,,Payer CA,492
2018-01-01,AncillaryFFS,,Payer CO,884
2018-01-01,AncillaryFFS,,Payer F,5006
2018-01-01,AncillaryFFS,,Payer O,782
2018-01-01,AncillaryFFS,,Payer S,589
2018-01-01,AncillaryFFS,,Payer S,468
2018-01-01,AncillaryFFS,,Payer F,1981581
2018-01-01,AncillaryFFS,,Payer O,458309
2018-01-01,AncillaryFFS,,Payer CO,45286
2018-01-01,AncillaryFFS,,Payer W,184015
2018-01-01,AncillaryFFS,,Payer CA,9103
2018-01-01,AncillaryFFS,,Payer UN,8501
2018-01-01,AncillaryFFS,,Payer H,392051
2018-01-01,AncillaryFFS,,Payer F,10408
2018-01-01,AncillaryFFS,,Payer O,1991
2018-01-01,AncillaryFFS,,Payer F,3437
2018-01-01,AncillaryFFS,,Payer CA,14829
2018-01-01,AncillaryFFS,,Payer F,1749
2018-01-01,AncillaryFFS,,Payer UN,270
2018-01-01,AncillaryFFS,,Payer W,1454080
2018-01-01,AncillaryFFS,,Payer B,0
2018-01-01,AncillaryFFS,,Payer CO,2551
2018-01-01,AncillaryFFS,,Payer F,2002
2018-01-01,AncillaryFFS,,Payer W,935
2018-01-01,AncillaryFFS,,Payer S,8189
2018-01-01,AncillaryFFS,laboratory,Payer F,169894
2018-01-01,AncillaryFFS,laboratory,Payer H,37228
2018-01-01,AncillaryFFS,laboratory,Payer O,172291
2018-01-01,AncillaryFFS,infectious,Payer F,3622
2018-01-01,AncillaryFFS,infectious,Payer O,1291
2018-01-01,AncillaryFFS,infectious,Payer CA,2666
2018-01-01,AncillaryFFS,infusion,Payer W,24140
2018-01-01,AncillaryFFS,infusion,Payer O,26621
2018-01-01,AncillaryFFS,,Payer B,0
2018-01-01,AncillaryFFS,,Payer CA,7073
2018-01-01,AncillaryFFS,,Payer F,78440
2018-01-01,AncillaryFFS,,Payer O,31236
2018-01-01,AncillaryFFS,,Payer S,1659
2018-01-01,AncillaryFFS,,Payer UN,0
2018-01-01,AncillaryFFS,,Payer W,3539
2018-01-01,AncillaryFFS,interventional cardiology,Payer CA,0
2018-01-01,AncillaryFFS,interventional cardiology,Payer F,116
2018-01-01,AncillaryFFS,interventional cardiology,Payer O,1830
2018-01-01,AncillaryFFS,interventional cardiology,Payer W,286
2018-01-01,AncillaryFFS,laboratory,Payer CA,405873
2018-01-01,AncillaryFFS,laboratory,Payer CO,22009
2018-01-01,AncillaryFFS,laboratory,Payer S,30897
2018-01-01,AncillaryFFS,laboratory,Payer UN,124437
2018-01-01,AncillaryFFS,laboratory,Payer W,158277
2018-01-01,AncillaryFFS,,Payer B,68765
2018-01-01,AncillaryFFS,,Payer H,79255
2018-01-01,AncillaryFFS,,Payer F,926071
2018-01-01,AncillaryFFS,,Payer O,154074
2018-01-01,AncillaryFFS,mental,Payer W,308
2018-01-01,AncillaryFFS,mental,Payer F,0
2018-01-01,AncillaryFFS,,Payer W,16306
2018-01-01,AncillaryFFS,,Payer B,556
2018-01-01,AncillaryFFS,,Payer W,483
2018-01-01,AncillaryFFS,diagnostic,Payer CA,1232
2018-01-01,AncillaryFFS,neurology,Payer CA,12808
2018-01-01,AncillaryFFS,neurology,Payer CO,2249
2018-01-01,AncillaryFFS,neurology,Payer F,70092
2018-01-01,AncillaryFFS,neurology,Payer O,18097
2018-01-01,AncillaryFFS,neurology,Payer S,10114
2018-01-01,AncillaryFFS,neurology,Payer UN,0
2018-01-01,AncillaryFFS,neurology,Payer W,9604
2018-01-01,AncillaryFFS,surgery neurology,Payer CA,474
2018-01-01,AncillaryFFS,neurology,Payer CA,6233
2018-01-01,AncillaryFFS,neurology,Payer UN,0
2018-01-01,AncillaryFFS,neurosurgery,Payer F,8274
2018-01-01,AncillaryFFS,neurosurgery,Payer UN,0
2018-01-01,AncillaryFFS,,Payer S,19873
2018-01-01,AncillaryFFS,,Payer B,2866
2018-01-01,AncillaryFFS,nurse,Payer CA,1633
2018-01-01,AncillaryFFS,nurse,Payer CO,1721
2018-01-01,AncillaryFFS,nurse,Payer UN,0
2018-01-01,AncillaryFFS,nurse,Payer H,3312
2018-01-01,AncillaryFFS,obstetrics gynecology,Payer O,319
2018-01-01,AncillaryFFS,obstetrics gynecology,Payer W,226
2018-01-01,AncillaryFFS,obstetrics gynecology,Payer UN,0
2018-01-01,AncillaryFFS,oncology,Payer F,0
2018-01-01,AncillaryFFS,oncology,Payer O,877
2018-01-01,AncillaryFFS,oncology hematology,Payer UN,0
2018-01-01,AncillaryFFS,ophthalmology,Payer CA,1093
2018-01-01,AncillaryFFS,ophthalmology,Payer UN,0
2018-01-01,AncillaryFFS,optometry,Payer UN,0
2018-01-01,AncillaryFFS,orthopedic,Payer CA,620
2018-01-01,AncillaryFFS,surgery orthopedic,Payer B,0
2018-01-01,AncillaryFFS,surgery orthopedic,Payer CA,2453
2018-01-01,AncillaryFFS,surgery orthopedic,Payer F,3813
2018-01-01,AncillaryFFS,surgery orthopedic,Payer O,758
2018-01-01,AncillaryFFS,surgery orthopedic,Payer UN,0
2018-01-01,AncillaryFFS,,Payer F,139
2018-01-01,AncillaryFFS,,Payer CA,129638
2018-01-01,AncillaryFFS,,Payer CO,475
2018-01-01,AncillaryFFS,,Payer W,8491
2018-01-01,AncillaryFFS,osteopath,Payer H,4801
2018-01-01,AncillaryFFS,,Payer CA,4494
2018-01-01,AncillaryFFS,,Payer F,3070
2018-01-01,AncillaryFFS,,Payer O,639
2018-01-01,AncillaryFFS,,Payer F,15132
2018-01-01,AncillaryFFS,,Payer B,0
2018-01-01,AncillaryFFS,,Payer CA,957
2018-01-01,AncillaryFFS,,Payer UN,163
2018-01-01,AncillaryFFS,,Payer W,2966
2018-01-01,AncillaryFFS,pathology,Payer CA,11523
2018-01-01,AncillaryFFS,pathology,Payer CO,6836
2018-01-01,AncillaryFFS,pathology,Payer F,27083
2018-01-01,AncillaryFFS,pathology,Payer O,3697
2018-01-01,AncillaryFFS,pathology,Payer UN,8022
2018-01-01,AncillaryFFS,anatomic pathology,Payer S,1974
2018-01-01,AncillaryFFS,,Payer W,326
2018-01-01,AncillaryFFS,pediatric,Payer CA,328
2018-01-01,AncillaryFFS,pediatric,Payer F,2321
2018-01-01,AncillaryFFS,pediatric,Payer O,2293
2018-01-01,AncillaryFFS,emergency,Payer S,169
2018-01-01,AncillaryFFS,,Payer B,556
2018-01-01,AncillaryFFS,rehab physical,Payer F,4530
2018-01-01,AncillaryFFS,rehab physical,Payer O,8655
2018-01-01,AncillaryFFS,rehab physical,Payer CA,2289
2018-01-01,AncillaryFFS,therapy physical,Payer CA,2850
2018-01-01,AncillaryFFS,therapy physical,Payer UN,1150
2018-01-01,AncillaryFFS,therapy physical,Payer W,0
2018-01-01,AncillaryFFS,physical,Payer H,3410
2018-01-01,AncillaryFFS,physical,Payer S,667
2018-01-01,AncillaryFFS,physical,Payer UN,0
2018-01-01,AncillaryFFS,surgery plastic,Payer CA,1106
2018-01-01,AncillaryFFS,pediatric,Payer S,1418
2018-01-01,AncillaryFFS,pediatric,Payer H,7180
2018-01-01,AncillaryFFS,surgery pediatric,Payer S,729
2018-01-01,AncillaryFFS,pediatric,Payer B,0
2018-01-01,AncillaryFFS,pediatric,Payer CA,3869
2018-01-01,AncillaryFFS,pediatric,Payer CO,797
2018-01-01,AncillaryFFS,pediatric,Payer F,5092
2018-01-01,AncillaryFFS,pediatric,Payer O,1847
2018-01-01,AncillaryFFS,pediatric,Payer UN,63
2018-01-01,AncillaryFFS,pediatric,Payer W,1058
2018-01-01,AncillaryFFS,,Payer F,1506
2018-01-01,AncillaryFFS,,Payer O,416
2018-01-01,AncillaryFFS,orthotics,Payer F,130399
2018-01-01,AncillaryFFS,orthotics,Payer O,28119
2018-01-01,AncillaryFFS,orthotics prosthetics,Payer S,2298
2018-01-01,AncillaryFFS,,Payer F,1927
2018-01-01,AncillaryFFS,,Payer O,1024
2018-01-01,AncillaryFFS,,Payer H,255
2018-01-01,AncillaryFFS,psychiatry,Payer W,69110
2018-01-01,AncillaryFFS,psychiatry,Payer CA,0
2018-01-01,AncillaryFFS,psychiatry,Payer W,7371
2018-01-01,AncillaryFFS,psychology,Payer UN,0
2018-01-01,AncillaryFFS,psychology,Payer W,1801
2018-01-01,AncillaryFFS,,Payer CO,169
2018-01-01,AncillaryFFS,pulmonary,Payer F,3674
2018-01-01,AncillaryFFS,pulmonary,Payer O,55
2018-01-01,AncillaryFFS,pulmonary,Payer B,0
2018-01-01,AncillaryFFS,pulmonary,Payer CA,526
2018-01-01,AncillaryFFS,pulmonary,Payer W,3261
2018-01-01,AncillaryFFS,pulmonology,Payer UN,0
2018-01-01,AncillaryFFS,radiology oncology,Payer CA,19537
2018-01-01,AncillaryFFS,radiology oncology,Payer CO,3340
2018-01-01,AncillaryFFS,radiology oncology,Payer F,17762
2018-01-01,AncillaryFFS,radiology,Payer F,16264
2018-01-01,AncillaryFFS,radiology,Payer O,1303
2018-01-01,AncillaryFFS,radiology,Payer UN,0
2018-01-01,AncillaryFFS,radiology,Payer W,1047
2018-01-01,AncillaryFFS,radiology diagnostic,Payer UN,783
2018-01-01,AncillaryFFS,radiology diagnostic,Payer S,209
2018-01-01,AncillaryFFS,radiology,Payer B,0
2018-01-01,AncillaryFFS,radiology,Payer F,27818
2018-01-01,AncillaryFFS,radiology,Payer O,2149
2018-01-01,AncillaryFFS,radiology oncology,Payer UN,0
2018-01-01,AncillaryFFS,rehab,Payer UN,0
2018-01-01,AncillaryFFS,rehab,Payer B,0
2018-01-01,AncillaryFFS,rehab,Payer W,0
2018-01-01,AncillaryFFS,rehab,Payer B,178
2018-01-01,AncillaryFFS,dialysis,Payer F,1673676
2018-01-01,AncillaryFFS,dialysis,Payer O,166799
2018-01-01,AncillaryFFS,rheumatology,Payer UN,0
2018-01-01,AncillaryFFS,nurse,Payer CA,4991
2018-01-01,AncillaryFFS,nurse,Payer W,186015
2018-01-01,AncillaryFFS,,Payer CA,2872
2018-01-01,AncillaryFFS,,Payer W,8448
2018-01-01,AncillaryFFS,diagnostic,Payer F,51083
2018-01-01,AncillaryFFS,diagnostic,Payer O,10790
2018-01-01,AncillaryFFS,,Payer S,1395
2018-01-01,AncillaryFFS,,Payer F,19888
2018-01-01,AncillaryFFS,,Payer H,157205
2018-01-01,AncillaryFFS,,Payer W,15095
2018-01-01,AncillaryFFS,surgery vascular,Payer UN,1264
2018-01-01,AncillaryFFS,oncology surgery,Payer CA,1277
2018-01-01,AncillaryFFS,,Payer CO,1241
2018-01-01,AncillaryFFS,,Payer S,1285
2018-01-01,AncillaryFFS,,Payer CO,385
2018-01-01,AncillaryFFS,,Payer B,808
2018-01-01,AncillaryFFS,,Payer CA,40332
2018-01-01,AncillaryFFS,,Payer F,5833
2018-01-01,AncillaryFFS,,Payer O,1761
2018-01-01,AncillaryFFS,,Payer W,13856
2018-01-01,AncillaryFFS,,Payer UN,12593
2018-01-01,AncillaryFFS,,Payer F,4500
2018-01-01,AncillaryFFS,urology,Payer B,1640
2018-01-01,AncillaryFFS,urology,Payer CA,885
2018-01-01,AncillaryFFS,urology,Payer UN,0
2018-01-01,AncillaryFFS,vascular surgery,Payer F,1185
2018-01-01,AncillaryFFS,vision,Payer F,186682
2018-01-01,AncillaryFFS,vision,Payer O,113955
2018-01-01,AncillaryFFS,,Payer F,10263
2018-01-01,AncillaryFFS,,Payer O,25545
2018-01-01,AncillaryFFS,,Payer CA,12791
2018-01-01,ASCServices,,Payer F,2454
2018-01-01,ASCServices,surgery,Payer CO,21289
2018-01-01,ASCServices,ambulatory surgery,Payer B,16623
2018-01-01,ASCServices,ambulatory surgery,Payer CA,401722
2018-01-01,ASCServices,ambulatory surgery,Payer F,311242
2018-01-01,ASCServices,ambulatory surgery,Payer O,44462
2018-01-01,ASCServices,ambulatory surgery,Payer S,19812
2018-01-01,ASCServices,ambulatory surgery,Payer W,39568
2018-01-01,ASCServices,ambulatory surgery,Payer UN,54441
2018-01-01,ASCServices,,Payer CA,868
2018-01-01,ASCServices,anesthesiology,Payer H,56030
2018-01-01,ASCServices,anesthesiology,Payer CA,112526
2018-01-01,ASCServices,anesthesiology,Payer CO,10589
2018-01-01,ASCServices,anesthesiology,Payer F,190269
2018-01-01,ASCServices,anesthesiology,Payer O,41488
2018-01-01,ASCServices,anesthesiology,Payer S,3304
2018-01-01,ASCServices,anesthesiology,Payer UN,8921
2018-01-01,ASCServices,anesthesiology,Payer W,15830
2018-01-01,ASCServices,,Payer CA,660
2018-01-01,ASCServices,,Payer F,1210980
2018-01-01,ASCServices,,Payer O,327700
2018-01-01,ASCServices,cardiology,Payer F,827
2018-01-01,ASCServices,cardiology,Payer O,1801
2018-01-01,ASCServices,surgery cardiovascular,Payer CA,1015
2018-01-01,ASCServices,anesthesiology nurse,Payer B,6165
2018-01-01,ASCServices,colon surgery rectal,Payer B,3473
2018-01-01,ASCServices,,Payer CA,0
2018-01-01,ASCServices,,Payer W,0
2018-01-01,ASCServices,,Payer UN,0
2018-01-01,ASCServices,,Payer CA,1159
2018-01-01,ASCServices,,Payer F,1793
2018-01-01,ASCServices,,Payer O,771
2018-01-01,ASCServices,gastroenterology,Payer B,1737
2018-01-01,ASCServices,gastroenterology,Payer CA,77874
2018-01-01,ASCServices,gastroenterology,Payer CO,5216
2018-01-01,ASCServices,gastroenterology,Payer F,173807
2018-01-01,ASCServices,gastroenterology,Payer O,40897
2018-01-01,ASCServices,gastroenterology,Payer S,14405
2018-01-01,ASCServices,gastroenterology,Payer UN,4864
2018-01-01,ASCServices,gastroenterology,Payer W,20133
2018-01-01,ASCServices,surgery,Payer F,3595
2018-01-01,ASCServices,surgery,Payer O,2301
2018-01-01,ASCServices,gynecology,Payer F,4053
2018-01-01,ASCServices,surgery,Payer F,14562
2018-01-01,ASCServices,laboratory,Payer F,9573
2018-01-01,ASCServices,laboratory,Payer O,2680
2018-01-01,ASCServices,,Payer CO,1039
2018-01-01,ASCServices,laboratory,Payer W,424
2018-01-01,ASCServices,,Payer H,141232
2018-01-01,ASCServices,neurology,Payer F,2881
2018-01-01,ASCServices,neurology,Payer CA,499
2018-01-01,ASCServices,neurology,Payer W,3001
2018-01-01,ASCServices,anesthesiology nurse,Payer H,1017
2018-01-01,ASCServices,anesthesiology nurse,Payer S,2744
2018-01-01,ASCServices,nurse,Payer UN,878
2018-01-01,ASCServices,obstetrics gynecology,Payer CA,1048
2018-01-01,ASCServices,ophthalmology,Payer CA,51705
2018-01-01,ASCServices,ophthalmology,Payer W,0
2018-01-01,ASCServices,,Payer B,2135
2018-01-01,ASCServices,ophthalmology,Payer UN,56910
2018-01-01,ASCServices,surgery orthopedic,Payer CA,20592
2018-01-01,ASCServices,surgery orthopedic,Payer F,180403
2018-01-01,ASCServices,surgery orthopedic,Payer O,12658
2018-01-01,ASCServices,surgery orthopedic,Payer UN,5461
2018-01-01,ASCServices,surgery orthopedic,Payer W,5959
2018-01-01,ASCServices,osteopath,Payer H,3410
2018-01-01,ASCServices,,Payer CA,13841
2018-01-01,ASCServices,,Payer F,9387
2018-01-01,ASCServices,,Payer O,1256
2018-01-01,ASCServices,,Payer S,6599
2018-01-01,ASCServices,,Payer W,594
2018-01-01,ASCServices,pathology,Payer B,1580
2018-01-01,ASCServices,pathology,Payer CA,790
2018-01-01,ASCServices,pathology,Payer F,9052
2018-01-01,ASCServices,pathology,Payer O,1921
2018-01-01,ASCServices,,Payer W,261
2018-01-01,ASCServices,anesthesiology pediatric,Payer S,302
2018-01-01,ASCServices,rehab physical,Payer F,841
2018-01-01,ASCServices,rehab physical,Payer CO,1275
2018-01-01,ASCServices,rehab physical,Payer S,1212
2018-01-01,ASCServices,therapy physical,Payer UN,2247
2018-01-01,ASCServices,surgery plastic,Payer F,8474
2018-01-01,ASCServices,pediatric,Payer B,2003
2018-01-01,ASCServices,radiology,Payer S,380
2018-01-01,ASCServices,,Payer W,1055
2018-01-01,ASCServices,surgery,Payer S,2888
2018-01-01,ASCServices,surgery,Payer H,234893
2018-01-01,ASCServices,,Payer F,5701
2018-01-01,ASCServices,urology,Payer B,3425
2018-01-01,ASCServices,urology,Payer F,20675
2018-01-01,ASCServices,urology,Payer O,10938
2018-01-01,ASCServices,urology,Payer UN,1896
2018-01-01,ASCServices,vision,Payer F,15234
2018-01-01,ASCServices,,Payer S,138
2018-01-01,ERServices,,Payer F,19434
2018-01-01,ERServices,,Payer H,412990
2018-01-01,ERServices,,Payer CA,1359
2018-01-01,ERServices,anesthesiology,Payer CA,903
2018-01-01,ERServices,anesthesiology,Payer W,1425
2018-01-01,ERServices,,Payer CA,13365
2018-01-01,ERServices,cardiology electrophysiology,Payer CA,30
2018-01-01,ERServices,electrophysiology,Payer O,35
2018-01-01,ERServices,electrophysiology,Payer W,40
2018-01-01,ERServices,cardiology,Payer CA,483
2018-01-01,ERServices,cardiology,Payer CO,28
2018-01-01,ERServices,cardiology,Payer F,3561
2018-01-01,ERServices,cardiology,Payer O,2916
2018-01-01,ERServices,cardiology,Payer UN,29
2018-01-01,ERServices,cardiology,Payer W,2412
2018-01-01,ERServices,,Payer B,44
2018-01-01,ERServices,cardiothoracic surgery,Payer F,287
2018-01-01,ERServices,cardiovascular,Payer S,220
2018-01-01,ERServices,surgery cardiovascular,Payer CA,460
2018-01-01,ERServices,surgery cardiovascular,Payer CO,69
2018-01-01,ERServices,,Payer CA,214
2018-01-01,ERServices,,Payer CO,1149
2018-01-01,ERServices,,Payer CO,598
2018-01-01,ERServices,critical,Payer W,0
2018-01-01,ERServices,diagnostic,Payer H,3660
2018-01-01,ERServices,diagnostic radiology,Payer CA,10228
2018-01-01,ERServices,diagnostic radiology,Payer CO,685
2018-01-01,ERServices,,Payer CA,164
2018-01-01,ERServices,emergency,Payer CO,33803
2018-01-01,ERServices,emergency,Payer F,941549
2018-01-01,ERServices,emergency,Payer O,256029
2018-01-01,ERServices,emergency,Payer S,34040
2018-01-01,ERServices,emergency,Payer UN,36630
2018-01-01,ERServices,emergency,Payer B,6486
2018-01-01,ERServices,emergency,Payer CA,251815
2018-01-01,ERServices,emergency,Payer W,83779
2018-01-01,ERServices,,Payer F,225
2018-01-01,ERServices,family nurse,Payer CA,724
2018-01-01,ERServices,family,Payer B,1665
2018-01-01,ERServices,family,Payer CA,12610
2018-01-01,ERServices,family,Payer F,84511
2018-01-01,ERServices,family,Payer O,24589
2018-01-01,ERServices,family,Payer S,337
2018-01-01,ERServices,family,Payer W,4514
2018-01-01,ERServices,gastroenterology,Payer CA,870
2018-01-01,ERServices,gastroenterology,Payer F,2419
2018-01-01,ERServices,,Payer CA,2652
2018-01-01,ERServices,,Payer F,7002
2018-01-01,ERServices,,Payer O,404
2018-01-01,ERServices,,Payer W,11247
2018-01-01,ERServices,surgery,Payer CA,955
2018-01-01,ERServices,surgery,Payer F,1366
2018-01-01,ERServices,surgery,Payer O,1105
2018-01-01,ERServices,,Payer F,1667
2018-01-01,ERServices,,Payer CA,655643
2018-01-01,ERServices,,Payer CO,119766
2018-01-01,ERServices,,Payer H,1577993
2018-01-01,ERServices,,Payer UN,67324
2018-01-01,ERServices,,Payer W,219583
2018-01-01,ERServices,,Payer B,9165
2018-01-01,ERServices,,Payer F,2968
2018-01-01,ERServices,,Payer S,2518
2018-01-01,ERServices,,Payer W,1555
2018-01-01,ERServices,,Payer B,583
2018-01-01,ERServices,,Payer CA,17885
2018-01-01,ERServices,,Payer CO,248
2018-01-01,ERServices,,Payer F,62936
2018-01-01,ERServices,,Payer O,37630
2018-01-01,ERServices,,Payer S,677
2018-01-01,ERServices,,Payer UN,897
2018-01-01,ERServices,cardiovascular,Payer S,28
2018-01-01,ERServices,interventional cardiology,Payer CA,41
2018-01-01,ERServices,interventional cardiology,Payer F,682
2018-01-01,ERServices,interventional cardiology,Payer O,2058
2018-01-01,ERServices,radiology interventional,Payer CA,1431
2018-01-01,ERServices,radiology interventional,Payer F,8432
2018-01-01,ERServices,radiology interventional,Payer O,4252
2018-01-01,ERServices,laboratory,Payer W,0
2018-01-01,ERServices,,Payer H,625365
2018-01-01,ERServices,,Payer F,778
2018-01-01,ERServices,,Payer O,206
2018-01-01,ERServices,,Payer CA,542
2018-01-01,ERServices,,Payer CO,1018
2018-01-01,ERServices,neurology,Payer CA,1186
2018-01-01,ERServices,neurology,Payer W,93
2018-01-01,ERServices,neuroradiology,Payer CA,38
2018-01-01,ERServices,neuroradiology,Payer F,191
2018-01-01,ERServices,nuclear,Payer CA,57
2018-01-01,ERServices,nuclear,Payer F,412
2018-01-01,ERServices,nurse,Payer CA,3045
2018-01-01,ERServices,nurse,Payer H,2644
2018-01-01,ERServices,obstetrics gynecology,Payer F,3893
2018-01-01,ERServices,oncology,Payer F,1565
2018-01-01,ERServices,oncology,Payer O,547
2018-01-01,ERServices,surgery orthopedic,Payer F,12544
2018-01-01,ERServices,osteopath,Payer H,5112
2018-01-01,ERServices,,Payer F,3517891
2018-01-01,ERServices,,Payer O,1422335
2018-01-01,ERServices,pathology,Payer CA,978
2018-01-01,ERServices,pathology,Payer S,0
2018-01-01,ERServices,pathology,Payer W,0
2018-01-01,ERServices,anatomic pathology,Payer S,492
2018-01-01,ERServices,pediatric,Payer F,1623
2018-01-01,ERServices,pediatric,Payer S,973
2018-01-01,ERServices,physical,Payer CO,1704
2018-01-01,ERServices,physical,Payer H,3174
2018-01-01,ERServices,physical,Payer S,2003
2018-01-01,ERServices,physical,Payer CA,8954
2018-01-01,ERServices,psychiatry,Payer B,826
2018-01-01,ERServices,radiology,Payer W,5151
2018-01-01,ERServices,radiology,Payer S,79
2018-01-01,ERServices,radiology,Payer B,1326
2018-01-01,ERServices,radiology,Payer CA,57777
2018-01-01,ERServices,radiology,Payer CO,4644
